TransactionID,CustomerID,CustomerName,Email,Phone,ProductID,ProductName,Category,Price,StoreID,StoreName,Location,Quantity,TransactionDate,TotalAmount
T001,C001,John Doe,johndoe@example.com,1234567890,P001,Widget A,Widgets,25.99,S001,Main Store,New York,2,1/1/2025,51.98
T002,C002,Jane Smith,janesmith@example.com,987654321,P002,Widget B,Widgets,30.99,S001,Main Store,New York,1,1/2/2025,30.99
T003,C003,Emily Johnson,emilyj@example.com,4567891230,P003,Widget C,Widgets,15.49,S002,Secondary Store,Los Angeles,3,1/3/2025,46.47
T004,C001,John Doe,johndoe@example.com,1234567890,P002,Widget B,Widgets,30.99,S001,Main Store,New York,1,1/4/2025,30.99
T005,C004,Michael Brown,michaelb@example.com,7894561230,P004,Widget D,Widgets,22.49,S002,Secondary Store,Los Angeles,4,1/5/2025,89.96
T006,C005,Jessica White,jessicaw@example.com,3216549870,P001,Widget A,Widgets,25.99,S003,Tertiary Store,Chicago,1,1/6/2025,25.99
T007,C002,Jane Smith,janesmith@example.com,987654321,P005,Widget E,Widgets,29.99,S001,Main Store,New York,2,1/7/2025,59.98
T008,C003,Emily Johnson,emilyj@example.com,4567891230,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/8/2025,30.99
T009,C004,Michael Brown,michaelb@example.com,7894561230,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/9/2025,59.97
T010,C005,Jessica White,jessicaw@example.com,3216549870,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/10/2025,35.99
T011,C001,John Doe,johndoe@example.com,1234567890,P003,Widget C,Widgets,15.49,S002,Secondary Store,Los Angeles,4,1/11/2025,61.96
T012,C002,Jane Smith,janesmith@example.com,987654321,P004,Widget D,Widgets,22.49,S003,Tertiary Store,Chicago,2,1/12/2025,44.98
T013,C003,Emily Johnson,emilyj@example.com,4567891230,P005,Widget E,Widgets,29.99,S001,Main Store,New York,1,1/13/2025,29.99
T014,C004,Michael Brown,michaelb@example.com,7894561230,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,3,1/14/2025,92.97
T015,C005,Jessica White,jessicaw@example.com,3216549870,P001,Widget A,Widgets,25.99,S003,Tertiary Store,Chicago,2,1/15/2025,51.98
